city,lat,lng,country,Region,population
Ahfir,34.9514,-2.1025,Morocco,Oriental,19630
Ait Bousarane,31.7318,-7.0876,Morocco,Béni Mellal-Khénifra,19501
Ait Bouziyane,33.8167,-5.2749,Morocco,Fès-Meknès,19501
Oulad Salmane,34.3356,-6.4604,Morocco,Rabat-Salé-Kénitra,19488
Douar Ait Sidi Daoud,31.6347,-7.6444,Morocco,Marrakech-Safi,19286
Al Brouj,32.505,-7.1927,Morocco,Casablanca-Settat,19235
Sidi Redouane,34.6833,-5.45,Morocco,Tanger-Tétouan-Al Hoceïma,19169
Zaouïa Aït Ishak,32.76,-5.7233,Morocco,Béni Mellal-Khénifra,19133
Imouzzer Kandar,33.73,-5.01,Morocco,Fès-Meknès,19125
Douar Toulal,33.8951,-5.6021,Morocco,Fès-Meknès,19077
Ait Ben Daoudi,31.6345,-7.644,Morocco,Marrakech-Safi,18976
Beni Zouli,30.4839,-5.8619,Morocco,Drâa-Tafilalet,18941
Oulmes,33.445,-6.0011,Morocco,Rabat-Salé-Kénitra,18786
Karia Ba Mohamed,34.3667,-5.2,Morocco,Fès-Meknès,18762
Tata,29.7428,-7.9725,Morocco,Souss-Massa,18611
Jbabra,34.4314,-4.9642,Morocco,Fès-Meknès,18592
Tamri,30.695,-9.825,Morocco,Souss-Massa,18577
Sebt Gzoula,32.1167,-9.0833,Morocco,Marrakech-Safi,18543
Chouafa,34.9468,-6.1667,Morocco,Rabat-Salé-Kénitra,18436
Foum el Anser,32.3718,-6.2613,Morocco,Béni Mellal-Khénifra,18412
Assa,28.6086,-9.4269,Morocco,Guelmim-Oued Noun,18367
Lamrasla,32.0247,-8.9153,Morocco,Marrakech-Safi,18335
Aït Bouchta,35.1056,-3.8503,Morocco,Tanger-Tétouan-Al Hoceïma,18271
Bni Bouayach,35.0986,-3.8397,Morocco,Tanger-Tétouan-Al Hoceïma,18271
Ikniwn,31.1736,-5.6733,Morocco,Drâa-Tafilalet,18235
Bouarouss,34.3667,-4.8167,Morocco,Fès-Meknès,18147
Ghouazi,34.4667,-5.3,Morocco,Fès-Meknès,18081
Sidi Allal Tazi,34.5197,-6.3236,Morocco,Rabat-Salé-Kénitra,18055
Douar Oulad Mbarek,34.2833,-4.3167,Morocco,Fès-Meknès,17747
Laatatra,32.6315,-8.4148,Morocco,Casablanca-Settat,17593
Aït Majdane,31.8514,-6.9658,Morocco,Béni Mellal-Khénifra,17572
Sahel,34.9667,-4.55,Morocco,Tanger-Tétouan-Al Hoceïma,17496
Dar Chaifat,32.55,-7.5,Morocco,Casablanca-Settat,17454
Awlouz,30.7,-8.15,Morocco,Souss-Massa,17409
Milla’ab,31.4737,-4.7424,Morocco,Drâa-Tafilalet,17360
Ketama,34.9158,-4.5686,Morocco,Tanger-Tétouan-Al Hoceïma,17351
Galaz,34.55,-4.8,Morocco,Fès-Meknès,17333
Chouafaa,34.7667,-6.05,Morocco,Rabat-Salé-Kénitra,17202
Tagounite,29.9585,-5.9151,Morocco,Drâa-Tafilalet,17103
Sidi Yakoub,31.6667,-7.0667,Morocco,Béni Mellal-Khénifra,17054
